x,y,z,cut,color,clarity,table,carat,depth,price
6.85,6.79,4.22,4,2,0,61.0,1.23,61.9,3905.0
6.32,6.36,4.04,1,4,1,57.0,1.0,63.7,3906.0
6.31,6.35,3.95,2,4,1,56.0,1.0,62.4,3906.0
6.39,6.44,3.97,2,4,1,59.0,1.0,61.9,3906.0
6.34,6.37,3.99,2,0,1,59.0,1.01,62.8,3906.0
6.2,6.23,3.86,4,1,4,57.0,0.91,62.1,3906.0
6.25,6.27,4.02,1,3,1,57.0,1.0,64.2,3906.0
5.88,5.96,3.43,2,5,6,61.0,0.71,57.9,3907.0
6.45,6.41,3.79,3,5,1,61.0,0.95,58.9,3907.0
6.2,6.22,3.82,4,1,2,55.0,0.9,61.6,3908.0
6.83,6.75,4.29,2,0,1,60.0,1.24,63.3,3908.0
6.2,6.24,3.78,2,3,1,57.0,0.9,60.8,3909.0
5.74,5.78,3.54,4,3,5,57.0,0.71,61.5,3909.0
6.43,6.33,4.07,1,6,1,59.0,1.02,63.8,3909.0
6.62,6.6,3.8,1,6,1,62.0,1.02,57.5,3909.0
6.25,6.29,3.7,2,3,3,58.0,0.9,59.0,3910.0
6.26,6.31,3.82,2,6,1,58.0,0.91,60.8,3910.0
6.26,6.19,3.86,3,4,2,60.0,0.92,62.0,3910.0
5.94,6.01,3.61,2,5,3,58.0,0.77,60.4,3911.0
6.19,6.24,3.82,3,5,2,60.0,0.91,61.5,3911.0
6.12,6.15,3.89,2,6,1,59.0,0.91,63.4,3911.0
6.56,6.48,3.79,3,2,2,62.0,0.97,58.0,3911.0
6.43,6.4,4.02,4,1,1,57.0,1.02,62.7,3913.0
5.76,5.79,3.56,4,3,6,56.0,0.73,61.6,3913.0
5.98,6.0,3.67,4,4,3,55.0,0.8,61.3,3913.0
5.98,6.01,3.71,4,5,2,55.0,0.81,61.9,3913.0
6.78,6.69,4.23,3,0,3,59.0,1.18,62.8,3913.0
7.1,7.15,4.46,2,1,0,57.0,1.39,62.6,3914.0
6.52,6.45,3.99,3,5,1,58.0,1.04,61.6,3914.0
6.4,6.45,3.99,4,2,0,56.0,1.02,62.1,3915.0
5.59,5.63,3.44,4,6,5,57.0,0.66,61.3,3915.0
6.29,6.34,3.86,4,5,1,55.0,0.94,61.1,3915.0
6.36,6.32,3.99,3,2,2,60.0,1.0,62.9,3915.0
6.32,6.29,3.76,3,2,3,59.0,0.92,59.6,3916.0
6.51,6.55,3.78,0,5,1,57.0,1.01,57.9,3916.0
6.57,6.48,4.15,1,0,2,58.0,1.11,63.6,3916.0
6.14,6.09,3.91,1,6,1,55.0,0.92,63.9,3916.0
6.34,6.31,3.76,3,3,1,60.0,0.92,59.4,3916.0
5.89,5.92,3.58,2,4,5,60.0,0.77,60.6,3917.0
6.27,6.2,3.76,3,5,2,60.0,0.9,60.3,3917.0
6.48,6.45,4.12,1,4,1,58.0,1.1,63.7,3918.0
6.02,6.06,3.8,1,3,3,62.0,0.9,62.9,3918.0
6.08,6.17,3.89,2,6,1,58.0,0.9,63.5,3918.0
6.33,6.37,3.89,4,1,1,56.0,0.95,61.2,3918.0
6.68,6.56,4.12,3,4,1,56.0,1.1,62.1,3918.0
6.32,6.27,3.95,3,1,3,62.0,1.0,62.7,3918.0
6.09,6.14,3.83,2,3,2,60.0,0.9,62.6,3919.0
6.12,6.08,3.85,2,2,3,60.0,0.9,63.1,3919.0
6.11,6.07,3.9,1,2,3,58.0,0.9,64.0,3919.0
6.18,6.09,3.82,3,2,3,58.0,0.9,62.3,3919.0
6.48,6.44,3.89,3,2,1,61.0,1.0,60.2,3920.0
6.4,6.36,4.01,3,4,2,59.0,1.01,62.8,3920.0
6.12,6.17,3.92,2,4,2,56.0,0.92,63.8,3920.0
6.58,6.55,3.7,0,1,2,61.0,1.0,56.4,3920.0
6.38,6.29,4.01,2,3,1,56.0,1.0,63.3,3920.0
6.45,6.41,3.94,3,2,1,58.0,1.0,61.3,3920.0
6.42,6.38,3.92,3,2,1,59.0,1.0,61.2,3920.0
6.33,6.29,4.0,2,2,1,61.0,1.0,63.4,3920.0
6.32,6.28,4.02,1,1,2,58.0,1.0,63.8,3920.0
6.41,6.38,3.93,3,4,1,58.0,1.0,61.5,3920.0
5.78,5.64,3.51,2,6,6,63.0,0.7,61.5,3920.0
6.55,6.51,3.83,3,0,2,58.0,1.0,58.7,3920.0
4.98,4.9,3.23,0,4,5,60.0,0.51,65.4,3920.0
6.25,6.29,3.74,3,2,3,60.0,0.91,59.6,3921.0
6.13,6.16,3.88,1,2,3,59.0,0.91,63.1,3921.0
6.45,6.5,4.01,4,0,2,56.0,1.03,61.9,3921.0
6.16,6.2,3.72,1,3,2,63.0,0.9,60.2,3921.0
6.28,6.22,3.79,3,4,4,55.0,0.88,60.7,3921.0
5.8,5.83,3.59,4,3,5,55.0,0.74,61.7,3922.0
6.45,6.43,4.03,4,0,2,57.0,1.03,62.6,3922.0
5.92,5.95,3.65,2,6,4,57.0,0.78,61.5,3923.0
6.38,6.32,4.0,3,3,1,59.0,1.01,63.0,3923.0
5.99,6.02,3.7,4,3,4,56.0,0.81,61.6,3923.0
6.35,6.31,4.03,1,3,1,58.0,1.01,63.7,3923.0
6.53,6.51,3.65,0,2,4,60.0,0.92,56.0,3924.0
6.1,6.12,3.89,2,2,3,57.0,0.91,63.7,3924.0
6.21,6.24,3.76,3,5,1,59.0,0.9,60.4,3924.0
6.19,6.22,3.68,4,5,3,57.0,0.85,59.3,3924.0
6.18,6.26,3.83,2,5,1,59.0,0.9,61.6,3924.0
6.35,6.39,4.03,2,0,1,58.6,1.04,63.2,3924.0
6.17,6.1,3.91,1,4,2,58.0,0.91,63.7,3924.0
6.09,6.02,3.86,1,4,2,58.0,0.91,63.7,3924.0
6.46,6.5,4.03,4,1,1,57.0,1.03,62.2,3925.0
6.77,6.7,4.24,3,1,1,58.0,1.18,62.9,3925.0
6.4,6.44,4.03,4,0,2,57.0,1.01,62.8,3926.0
6.17,6.19,4.06,1,2,1,60.0,1.01,65.7,3926.0
6.52,6.56,3.95,2,1,2,58.0,1.02,60.4,3927.0
6.47,6.51,4.0,4,2,1,56.0,1.02,61.6,3927.0
6.37,6.42,3.99,2,2,1,59.0,1.02,62.4,3927.0
6.36,6.42,4.02,2,1,2,58.0,1.02,62.9,3927.0
5.86,5.88,3.64,4,3,5,56.0,0.76,62.0,3927.0
6.51,6.49,3.86,3,5,1,59.0,1.01,59.4,3928.0
6.28,6.35,4.02,1,3,1,60.0,1.03,63.7,3929.0
6.47,6.5,3.84,4,0,2,62.0,1.0,59.2,3929.0
6.01,6.05,3.67,4,5,3,57.0,0.8,60.9,3930.0
6.09,6.03,3.92,0,4,3,54.0,0.9,64.7,3931.0
6.32,6.28,3.67,3,1,5,60.0,0.9,58.3,3931.0
6.42,6.38,3.7,1,3,2,58.0,0.9,57.8,3931.0
6.24,6.17,3.82,4,3,2,57.0,0.9,61.6,3931.0
6.57,6.52,4.0,4,0,2,57.0,1.04,61.1,3931.0
6.29,6.17,3.8,3,3,2,59.0,0.9,61.0,3931.0
6.2,6.14,3.84,4,3,2,56.0,0.9,62.2,3931.0
6.75,6.66,4.01,3,4,1,58.0,1.08,59.9,3931.0
6.28,6.34,4.04,1,6,1,59.0,1.01,64.0,3932.0
6.17,6.14,3.84,3,1,6,59.0,0.92,62.4,3932.0
6.55,6.6,4.03,4,0,1,57.0,1.06,61.3,3932.0
6.14,6.19,3.86,3,2,3,58.0,0.9,62.6,3933.0
6.15,6.28,3.87,2,3,2,57.8,0.93,62.5,3933.0
6.09,6.07,3.74,4,6,2,53.0,0.83,61.5,3933.0
6.01,5.96,3.68,4,4,4,55.0,0.81,61.5,3933.0
5.97,6.02,3.71,4,5,2,56.0,0.81,61.9,3935.0
6.54,6.49,4.06,4,3,1,55.0,1.06,62.3,3936.0
6.19,6.23,3.81,2,4,2,58.0,0.91,61.4,3936.0
6.11,6.14,3.82,2,5,1,58.0,0.91,62.4,3936.0
6.19,6.13,3.8,3,4,2,62.0,0.9,61.7,3936.0
6.07,6.09,3.77,4,3,3,55.0,0.84,62.0,3936.0
6.31,6.36,3.74,1,6,1,58.0,0.92,59.0,3936.0
6.46,6.43,4.0,4,0,5,57.0,1.02,62.1,3936.0
5.71,5.68,3.52,3,5,6,56.0,0.71,61.8,3936.0
5.83,5.86,3.56,4,6,4,55.0,0.73,60.9,3937.0
6.39,6.25,3.81,3,2,3,61.0,0.93,60.3,3937.0
6.25,6.27,3.92,2,4,1,57.0,0.94,62.6,3938.0
6.49,6.57,3.8,1,2,1,60.0,1.02,58.2,3940.0
6.63,6.53,3.78,1,3,1,60.0,1.0,57.4,3941.0
6.3,6.26,4.02,1,3,1,55.0,1.0,64.0,3941.0
6.21,6.25,3.86,4,4,1,57.0,0.93,61.9,3941.0
6.26,6.2,3.87,4,5,1,57.0,0.92,62.1,3941.0
6.22,6.18,3.85,3,5,1,58.0,0.92,62.1,3941.0
6.27,6.18,3.84,3,5,1,59.0,0.92,61.7,3941.0
6.25,6.22,3.87,4,5,1,53.0,0.92,62.1,3941.0
6.24,6.2,3.87,4,5,1,56.0,0.92,62.2,3941.0
6.7,6.74,4.1,3,5,0,59.0,1.12,61.0,3942.0
7.11,7.04,4.2,3,1,2,61.0,1.28,59.4,3942.0
6.63,6.59,4.09,4,5,0,56.0,1.1,61.9,3942.0
6.24,6.16,3.78,3,6,1,61.0,0.91,61.0,3943.0
6.45,6.51,3.99,3,1,2,58.0,1.01,61.6,3944.0
5.98,5.92,3.93,0,6,2,55.0,0.9,66.1,3945.0
6.37,6.43,4.01,4,4,1,57.0,1.01,62.7,3945.0
6.32,6.38,3.86,2,4,1,63.0,1.01,60.8,3945.0
6.33,6.37,3.97,2,4,1,61.0,1.01,62.5,3945.0
6.11,6.17,3.86,2,3,2,56.0,0.9,62.9,3945.0
6.3,6.34,3.92,4,3,1,58.0,0.96,62.0,3945.0
6.15,6.18,3.86,1,5,2,62.0,0.9,62.6,3945.0
6.47,6.41,3.98,3,2,2,58.0,1.03,61.8,3945.0
6.8,6.73,4.08,4,3,0,57.0,1.12,60.3,3945.0
6.1,6.14,3.85,1,1,5,61.0,0.9,62.9,3946.0
6.41,6.48,3.75,1,1,3,60.0,0.93,58.2,3946.0
6.23,6.28,3.98,2,5,1,59.0,1.02,63.6,3947.0
5.78,5.81,3.54,4,5,4,57.0,0.72,61.1,3947.0
5.82,5.85,3.59,2,4,5,55.1,0.74,61.5,3948.0
6.34,6.29,3.94,3,1,3,56.0,0.97,62.2,3948.0
5.86,5.88,3.64,4,2,3,56.0,0.76,62.0,3948.0
6.06,6.09,3.87,1,5,3,58.0,0.9,63.7,3948.0
6.38,6.48,3.93,1,3,1,62.0,1.01,61.1,3948.0
6.2,6.17,3.86,3,6,1,56.0,0.91,62.4,3949.0
5.72,5.73,3.51,4,3,7,56.0,0.7,61.3,3949.0
6.23,6.31,4.0,1,3,1,56.0,1.0,63.8,3949.0
6.12,6.18,3.88,1,4,2,58.0,0.9,63.1,3950.0
6.08,6.11,3.81,2,4,2,62.0,0.9,62.5,3950.0
6.1,6.14,3.83,2,4,2,60.0,0.9,62.6,3950.0
6.09,6.11,3.86,1,4,2,60.0,0.9,63.3,3950.0
6.13,6.17,3.81,2,4,2,59.0,0.9,62.0,3950.0
6.16,6.2,3.87,2,4,2,57.0,0.9,62.6,3950.0
6.33,6.37,3.65,1,4,2,60.0,0.9,57.5,3950.0
6.07,6.12,3.88,1,4,2,59.0,0.9,63.6,3950.0
6.16,6.22,3.82,2,4,2,60.0,0.9,61.7,3950.0
6.09,6.13,3.86,1,4,2,61.0,0.9,63.2,3950.0
6.19,6.21,3.83,4,4,2,57.0,0.9,61.8,3950.0
6.23,6.29,3.78,2,4,2,60.0,0.9,60.4,3950.0
6.34,6.37,3.66,1,4,2,60.0,0.9,57.6,3950.0
6.62,6.74,4.13,3,6,0,59.0,1.14,61.8,3950.0
6.05,6.1,3.87,2,4,2,58.0,0.9,63.7,3950.0
6.09,6.12,3.87,2,4,2,58.0,0.9,63.4,3950.0
6.05,6.11,3.8,2,4,2,60.0,0.9,62.5,3950.0
6.14,6.18,3.84,2,4,2,55.0,0.9,62.3,3950.0
5.81,5.77,3.69,1,6,4,56.0,0.76,63.7,3950.0
6.25,6.22,3.72,3,4,1,60.0,0.9,59.7,3951.0
5.74,5.71,3.51,3,5,7,60.0,0.72,61.3,3951.0
6.95,6.9,4.13,3,0,1,62.0,1.2,59.6,3951.0
6.54,6.5,4.15,1,0,2,61.0,1.12,63.7,3951.0
6.27,6.21,3.78,3,4,1,59.0,0.9,60.6,3951.0
6.61,6.55,4.01,3,5,1,61.0,1.05,60.9,3951.0
6.29,6.22,3.95,2,3,1,56.0,0.96,63.1,3951.0
5.77,5.86,3.44,2,4,5,63.0,0.72,59.2,3952.0
6.52,6.58,4.19,1,4,1,58.0,1.13,64.0,3952.0
6.56,6.62,3.88,2,0,2,59.0,1.01,58.9,3952.0
5.89,5.81,3.44,3,6,6,58.0,0.71,58.8,3952.0
5.95,5.99,3.68,4,4,4,54.0,0.8,61.6,3953.0
6.48,6.46,4.04,4,1,1,57.0,1.04,62.4,3953.0
5.93,6.01,3.66,2,4,3,55.0,0.8,61.3,3954.0
6.06,6.13,3.81,2,4,2,59.0,0.9,62.5,3954.0
6.17,6.21,3.86,4,1,4,57.0,0.91,62.4,3954.0
6.04,6.08,3.92,1,4,2,54.0,0.9,64.7,3954.0
6.77,6.83,4.13,4,0,2,57.0,1.16,60.7,3955.0
5.76,5.8,3.53,4,3,6,57.0,0.71,61.1,3955.0
6.65,6.69,4.08,2,1,1,61.0,1.11,61.2,3956.0
6.51,6.41,3.99,3,0,4,58.0,1.03,61.8,3957.0
6.21,6.25,3.81,3,6,1,58.0,0.91,61.2,3958.0
6.46,6.52,4.06,2,2,1,58.0,1.06,62.6,3958.0
6.23,6.18,3.84,4,5,1,54.0,0.9,61.9,3958.0
6.33,6.25,3.95,3,2,1,61.0,1.01,62.8,3959.0
6.45,6.38,3.89,3,2,1,61.0,1.01,60.6,3959.0
6.35,6.32,4.05,1,2,1,58.0,1.01,63.9,3959.0
6.39,6.35,3.98,3,2,1,58.0,1.01,62.5,3959.0
6.43,6.36,4.01,3,1,2,59.0,1.01,62.7,3959.0
6.35,6.33,4.03,1,6,1,61.0,1.01,63.6,3959.0
6.35,6.29,4.01,2,2,1,55.0,1.01,63.4,3959.0
6.39,6.31,4.04,1,1,2,55.0,1.01,63.6,3959.0
6.38,6.42,3.83,2,3,1,58.0,0.97,59.8,3960.0
6.56,6.49,4.02,3,1,1,56.0,1.04,61.6,3960.0
6.09,6.12,3.88,2,3,2,57.0,0.91,63.6,3961.0
5.79,5.84,3.63,4,6,4,56.0,0.75,62.4,3961.0
6.14,6.11,3.79,3,5,2,61.0,0.91,61.9,3961.0
6.58,6.54,4.06,3,6,1,61.0,1.09,61.9,3961.0
6.12,6.16,3.82,4,6,1,56.0,0.88,62.2,3962.0
6.11,6.17,3.85,2,4,2,56.0,0.91,62.7,3963.0
6.19,6.22,3.85,2,5,1,60.0,0.94,62.0,3963.0
6.22,6.13,3.85,3,2,3,57.0,0.91,62.3,3963.0
6.14,6.19,3.86,2,2,4,55.0,0.9,62.6,3964.0
6.15,6.2,3.87,2,2,4,56.0,0.9,62.7,3964.0
6.84,6.69,4.31,2,1,1,62.0,1.21,63.4,3964.0
6.02,5.93,4.08,0,3,2,61.0,1.0,68.3,3965.0
6.7,6.64,4.22,2,5,0,57.0,1.18,63.3,3965.0
6.75,6.62,4.18,3,5,0,58.0,1.18,62.5,3965.0
6.22,6.19,3.99,1,6,1,60.0,1.0,64.3,3965.0
6.34,6.29,4.06,1,6,1,53.0,1.0,64.3,3965.0
6.19,6.08,4.01,0,3,2,62.0,1.0,65.2,3965.0
6.38,6.33,4.02,2,6,1,56.0,1.0,63.2,3965.0
6.41,6.36,3.88,2,6,1,63.0,1.0,60.8,3965.0
6.27,6.23,4.06,0,6,1,56.0,1.0,65.0,3965.0
4.48,4.57,2.71,2,1,4,62.0,0.33,59.9,575.0
4.21,4.26,2.63,2,5,3,62.0,0.3,62.1,575.0
4.42,4.45,2.76,4,1,6,53.0,0.32,62.2,575.0
4.42,4.44,2.72,4,1,6,56.0,0.32,61.4,575.0
4.45,4.46,2.77,4,6,2,54.0,0.33,62.2,575.0
4.55,4.59,2.91,1,4,2,55.0,0.37,63.7,575.0
4.36,4.39,2.71,2,3,3,56.0,0.32,61.9,576.0
4.44,4.4,2.68,4,2,2,57.0,0.32,60.6,576.0
4.4,4.35,2.73,3,5,1,58.0,0.32,62.4,576.0
4.41,4.36,2.72,4,5,1,55.0,0.32,62.0,576.0
4.45,4.43,2.65,3,5,1,60.0,0.32,59.7,576.0
4.37,4.34,2.73,4,5,1,57.0,0.32,62.7,576.0
4.45,4.44,2.68,4,1,3,56.0,0.32,60.3,576.0
4.41,4.4,2.71,4,1,3,56.0,0.32,61.5,576.0
4.42,4.39,2.74,4,1,3,57.0,0.32,62.2,576.0
4.42,4.37,2.75,3,1,3,58.0,0.32,62.6,576.0
4.39,4.38,2.74,4,1,3,55.0,0.32,62.5,576.0
4.42,4.38,2.77,4,1,3,56.0,0.32,63.0,576.0
4.43,4.38,2.7,4,1,3,56.0,0.32,61.3,576.0
4.42,4.39,2.69,3,1,3,57.0,0.32,61.1,576.0
4.39,4.35,2.73,4,1,3,57.0,0.32,62.5,576.0
4.41,4.36,2.72,4,1,3,57.0,0.32,62.0,576.0
4.39,4.37,2.7,4,1,3,56.0,0.32,61.6,576.0
4.4,4.37,2.74,4,1,3,55.0,0.32,62.5,576.0
4.4,4.37,2.76,4,1,3,57.0,0.32,62.9,576.0
4.37,4.35,2.71,3,1,3,59.0,0.32,62.2,576.0
6.24,6.21,4.14,0,6,1,59.0,1.0,66.5,3965.0
6.84,6.69,4.21,3,2,1,57.0,1.2,62.1,3965.0
5.84,5.89,3.67,2,3,6,54.0,0.77,62.7,3966.0
6.36,6.39,3.94,2,3,1,58.0,1.01,61.8,3966.0
6.27,6.38,3.93,2,3,1,61.0,1.01,62.1,3966.0
6.29,6.34,3.98,2,3,1,58.0,1.01,63.0,3966.0
6.0,6.02,3.72,4,5,2,56.0,0.82,61.9,3966.0
6.0,5.96,3.55,3,6,4,59.0,0.77,59.4,3966.0
5.98,5.95,3.68,3,5,4,58.0,0.8,61.7,3967.0
6.78,6.83,4.04,2,5,1,62.0,1.13,59.4,3967.0
6.16,6.12,3.9,2,4,2,58.0,0.92,63.5,3967.0
6.25,6.21,3.85,3,4,2,59.0,0.92,61.8,3967.0
6.24,6.19,3.79,4,2,2,58.0,0.9,61.1,3967.0
6.64,6.57,4.07,3,1,2,61.0,1.09,61.6,3968.0
6.2,6.23,3.82,4,5,1,56.0,0.91,61.5,3968.0
6.25,6.29,3.81,4,5,1,56.0,0.91,60.8,3968.0
6.13,6.16,3.86,2,5,1,59.0,0.91,62.8,3968.0
5.45,5.48,3.4,4,6,6,54.0,0.62,62.2,3968.0
6.65,6.58,4.1,3,1,2,58.0,1.09,61.9,3968.0
6.42,6.46,3.95,2,6,1,62.0,1.02,61.3,3971.0
6.23,6.31,3.98,1,2,1,60.0,1.01,63.5,3971.0
6.42,6.39,3.98,3,1,1,59.0,1.01,62.1,3971.0
6.59,6.57,3.91,3,1,1,57.0,1.01,59.4,3971.0
5.97,6.02,3.68,4,5,3,56.0,0.8,61.4,3972.0
5.93,5.99,3.72,4,2,7,54.0,0.8,62.4,3972.0
6.05,6.09,3.79,1,1,6,61.0,0.9,62.4,3972.0
6.33,6.28,4.07,0,2,2,55.0,1.02,64.6,3972.0
6.01,6.06,3.86,1,5,2,61.0,0.91,64.0,3973.0
5.69,5.73,3.5,2,4,5,59.0,0.7,61.3,3974.0
6.51,6.54,3.89,2,4,1,59.0,1.02,59.6,3974.0
6.29,6.36,3.99,2,2,1,58.0,1.0,63.1,3975.0
6.11,6.15,3.81,2,6,1,57.0,0.9,62.2,3975.0
6.25,6.29,3.84,2,6,1,54.0,0.9,61.2,3975.0
6.0,6.06,3.71,4,5,3,57.0,0.81,61.5,3975.0
6.48,6.54,4.06,4,1,1,57.0,1.06,62.4,3975.0
6.24,6.29,3.86,1,2,1,59.0,0.96,61.6,3975.0
6.19,6.15,3.84,3,3,2,59.0,0.91,62.2,3975.0
6.17,6.14,3.85,3,3,2,58.0,0.91,62.6,3975.0
6.18,6.15,3.87,3,3,2,58.0,0.91,62.8,3975.0
6.21,6.18,3.83,3,3,2,60.0,0.91,61.8,3975.0
6.09,6.16,3.87,1,3,3,58.0,0.9,63.2,3976.0
6.72,6.79,4.3,1,6,0,58.0,1.23,63.7,3977.0
6.41,6.47,3.84,2,4,1,59.0,0.97,59.6,3977.0
6.2,6.1,3.81,2,4,1,59.0,0.9,62.0,3977.0
6.01,6.08,3.9,1,3,4,57.0,0.9,64.5,3977.0
6.36,6.32,4.04,1,4,1,57.0,1.0,63.7,3977.0
6.35,6.31,3.95,3,4,1,56.0,1.0,62.4,3977.0
6.61,6.59,4.0,4,5,1,57.0,1.06,60.7,3977.0
6.63,6.61,4.1,3,1,2,58.0,1.11,61.9,3978.0
6.02,6.05,3.73,4,5,2,53.0,0.82,61.8,3979.0
6.11,6.21,3.86,1,2,3,62.0,0.91,62.7,3979.0
6.42,6.38,4.02,2,1,1,56.0,1.02,62.8,3980.0
5.88,5.91,3.63,4,6,3,55.0,0.77,61.6,3980.0
5.79,5.82,3.57,4,6,3,55.0,0.73,61.5,3980.0
6.46,6.44,4.15,1,0,3,58.0,1.08,64.3,3980.0
6.47,6.44,4.2,0,0,3,54.0,1.08,65.1,3980.0
5.9,5.94,3.76,2,3,5,55.0,0.81,63.5,3981.0
6.49,6.41,3.91,3,3,1,59.0,1.01,60.6,3981.0
6.57,6.61,3.89,4,0,1,59.0,1.01,59.0,3982.0
6.43,6.46,3.99,4,1,2,55.0,1.02,61.9,3983.0
6.49,6.54,3.98,2,4,1,62.0,1.02,61.1,3984.0
6.02,6.11,3.72,2,6,4,57.2,0.83,61.3,3984.0
6.14,6.07,3.8,3,3,2,60.0,0.9,62.2,3984.0
6.74,6.64,4.32,0,0,1,59.0,1.21,64.6,3984.0
6.26,6.21,3.92,3,2,2,58.0,0.95,62.9,3984.0
6.25,6.19,3.91,3,5,1,57.0,0.93,62.9,3984.0
6.49,6.44,3.96,4,2,2,55.0,1.04,61.3,3984.0
6.76,6.72,4.19,3,4,0,58.0,1.17,62.2,3984.0
6.93,6.88,4.19,3,0,1,58.0,1.21,60.8,3984.0
6.29,6.33,3.89,4,2,2,54.0,0.93,61.6,3985.0
7.15,7.1,4.46,3,1,0,57.0,1.39,62.6,3985.0
6.24,6.22,3.84,4,3,1,56.0,0.91,61.6,3985.0
6.19,6.26,3.89,2,3,2,60.0,0.92,62.5,3986.0
6.26,6.34,3.81,2,5,1,59.0,0.91,60.5,3986.0
6.85,6.82,4.04,2,1,1,63.0,1.13,59.1,3987.0
6.68,6.62,4.15,3,0,1,59.0,1.13,62.4,3987.0
6.67,6.61,4.13,3,1,1,59.0,1.13,62.2,3987.0
6.45,6.4,3.99,4,2,0,56.0,1.02,62.1,3987.0
6.19,6.27,3.91,4,2,2,56.0,0.93,62.8,3988.0
6.16,6.2,3.84,3,2,3,58.0,0.9,62.1,3989.0
6.08,6.12,3.85,1,2,3,60.0,0.9,63.1,3989.0
6.14,6.22,3.87,2,2,3,58.0,0.9,62.6,3989.0
6.16,6.23,3.85,2,2,3,57.0,0.9,62.1,3989.0
6.14,6.18,3.81,1,2,3,58.0,0.9,61.9,3989.0
6.28,6.33,3.75,2,6,1,58.0,0.9,59.5,3989.0
6.47,6.43,3.87,3,6,1,60.0,0.96,60.0,3989.0
6.64,6.59,3.97,3,5,1,59.0,1.06,60.0,3989.0
6.4,6.36,4.06,1,4,1,59.0,1.05,63.6,3989.0
5.67,5.72,3.55,4,5,5,53.7,0.7,62.3,3990.0
6.27,6.29,3.9,4,5,1,55.0,0.93,62.1,3990.0
6.1,6.15,3.84,4,6,1,57.0,0.9,62.7,3990.0
6.2,6.24,3.89,4,6,1,55.0,0.93,62.5,3990.0
6.04,6.06,3.71,4,6,2,56.0,0.83,61.3,3990.0
6.06,6.13,3.78,1,3,3,63.0,0.9,62.0,3990.0
6.82,6.71,4.36,0,2,1,58.0,1.25,64.4,3990.0
5.8,5.78,3.58,4,4,6,54.0,0.73,61.8,3990.0
6.27,6.3,3.81,4,3,2,56.0,0.91,62.6,3991.0
6.35,6.43,4.01,2,0,1,54.0,1.0,62.8,3991.0
6.3,6.33,4.05,2,2,1,54.0,1.0,64.1,3991.0
6.08,6.11,3.88,2,4,2,58.0,0.91,63.7,3991.0
6.27,6.33,3.98,1,2,1,60.0,1.0,63.2,3991.0
6.42,6.46,3.8,1,2,1,61.0,1.0,59.0,3991.0
6.21,6.13,4.12,0,4,2,60.0,1.01,66.8,3991.0
6.42,6.38,4.02,4,1,4,57.0,1.01,62.8,3991.0
6.37,6.31,3.92,3,2,2,60.0,1.0,61.8,3991.0
6.53,6.49,4.08,3,4,1,58.0,1.08,62.7,3992.0
6.27,6.3,3.73,2,1,3,59.0,0.9,59.3,3992.0
6.16,6.13,3.86,3,4,2,59.0,0.9,62.8,3992.0
6.24,6.17,3.7,2,4,2,63.0,0.9,59.6,3992.0
6.09,6.06,3.88,1,4,2,59.0,0.9,63.9,3992.0
6.05,6.0,3.82,2,4,2,62.0,0.9,63.4,3992.0
6.22,6.18,3.87,4,4,2,56.0,0.9,62.4,3992.0
6.19,6.14,3.8,3,4,2,60.0,0.9,61.6,3992.0
5.99,5.9,3.75,2,4,5,56.0,0.81,63.1,3992.0
6.08,6.03,3.87,1,4,2,58.0,0.9,63.9,3992.0
6.1,6.17,3.91,1,4,2,58.0,0.91,63.7,3993.0
5.78,5.72,3.65,2,5,6,58.0,0.74,63.5,3993.0
6.35,6.31,3.92,3,4,1,58.0,0.97,61.9,3993.0
6.45,6.38,3.84,3,4,1,59.0,0.97,59.9,3993.0
6.2,6.23,3.82,2,1,3,58.0,0.91,61.5,3994.0
6.42,6.46,3.82,4,2,1,59.0,0.95,59.3,3994.0
6.05,6.1,3.91,1,4,2,60.0,0.91,64.4,3994.0
6.43,6.47,4.04,2,2,1,60.0,1.06,62.6,3996.0
5.91,5.94,3.63,4,2,3,56.0,0.77,61.3,3996.0
6.7,6.64,3.87,3,4,1,60.0,1.02,58.0,3996.0
5.97,6.01,3.81,2,5,3,56.0,0.85,63.6,3997.0
6.44,6.47,3.97,4,0,1,56.0,1.01,61.4,3997.0
6.32,6.35,3.82,4,6,1,56.0,0.92,60.3,3997.0
6.21,6.17,3.78,2,6,2,63.0,0.9,61.1,3997.0
6.18,6.15,3.85,2,6,2,63.0,0.9,62.4,3997.0
6.14,6.11,3.83,2,6,2,63.0,0.9,62.5,3997.0
6.1,6.06,3.82,3,6,2,59.0,0.9,62.8,3997.0
6.13,6.06,3.85,2,6,2,62.0,0.9,63.2,3997.0
6.5,6.46,4.03,4,1,1,57.0,1.03,62.2,3997.0
6.32,6.36,4.04,2,1,1,57.0,1.01,63.7,3998.0
6.37,6.41,4.01,2,0,2,57.0,1.01,62.8,3998.0
6.3,6.41,3.76,2,2,2,60.0,0.91,59.2,3998.0
6.42,6.37,3.99,3,2,1,59.0,1.02,62.4,3998.0
6.3,6.26,4.03,1,1,2,53.0,1.02,64.2,3998.0
6.52,6.47,3.83,3,3,1,62.0,1.0,59.0,3998.0
6.88,6.78,4.2,3,2,1,58.0,1.19,61.5,3998.0
6.33,6.24,3.99,2,2,1,60.0,1.02,63.5,3998.0
6.29,6.25,3.9,3,3,1,57.0,1.0,62.2,3998.0
6.32,6.37,4.04,1,2,1,55.0,1.01,63.7,3999.0
